mode,kernel,dtype,N,misaligned,tail_multiple,mean_GFLOPs,mean_CPE,count
Scalar,saxpy,i32,280578,1,0,7.607155222222222,0.9228426111111112,18.0
Scalar,saxpy,i32,280578,1,1,6.8461048333333325,1.0301561666666668,18.0
Scalar,saxpy,i32,390892,0,0,7.207478611111112,0.9723462222222222,18.0
Scalar,saxpy,i32,390892,0,1,7.494392333333333,0.9400012222222222,18.0
Scalar,saxpy,i32,390892,1,0,7.845538444444445,0.8942679444444445,18.0
Scalar,saxpy,i32,390892,1,1,7.302108944444445,0.9589461666666667,18.0
Scalar,saxpy,i32,544578,0,0,7.66171011111111,0.9497924999999999,18.0
Scalar,saxpy,i32,544578,0,1,6.964174333333333,1.0085257777777779,18.0
Scalar,saxpy,i32,544578,1,0,7.297453055555555,0.9654600555555556,18.0
Scalar,saxpy,i32,544578,1,1,7.707083944444444,0.9125483333333333,18.0
Scalar,saxpy,i32,758688,0,0,7.00467888888889,1.004847888888889,18.0
Scalar,saxpy,i32,758688,0,1,7.401671666666666,0.948925111111111,18.0
Scalar,saxpy,i32,758688,1,0,7.736535222222224,0.9075305,18.0
Scalar,saxpy,i32,758688,1,1,7.515224055555557,0.9412256666666666,18.0
Scalar,saxpy,i32,1056978,0,0,6.543642277777777,1.0883377222222224,18.0
Scalar,saxpy,i32,1056978,0,1,7.420157166666668,0.9519458333333335,18.0
Scalar,saxpy,i32,1056978,1,0,7.537071666666667,0.9367676111111112,18.0
Scalar,saxpy,i32,1056978,1,1,6.340232666666666,1.185585388888889,18.0
Scalar,saxpy,i32,1472547,0,0,6.218757277777779,1.161160611111111,18.0
Scalar,saxpy,i32,1472547,0,1,6.523201055555555,1.086066611111111,18.0
Scalar,saxpy,i32,1472547,1,0,6.312342166666666,1.1541090000000003,18.0
Scalar,saxpy,i32,1472547,1,1,6.784974611111111,1.0421055000000001,18.0
Scalar,saxpy,i32,2051504,0,0,3.821562,1.91137,18.0
Scalar,saxpy,i32,2051504,0,1,6.441687833333334,1.105625,18.0
Scalar,saxpy,i32,2051504,1,0,6.4265469444444445,1.0945371111111113,18.0
Scalar,saxpy,i32,2051504,1,1,6.2185646666666665,1.1412319999999998,18.0
Scalar,saxpy,i32,2858088,0,0,5.281588277777778,1.3338882222222224,18.0
Scalar,saxpy,i32,2858088,0,1,4.447881666666666,1.5994941666666667,18.0
Scalar,saxpy,i32,2858088,1,0,4.825578833333333,1.5165155,18.0
Scalar,saxpy,i32,2858088,1,1,5.021302722222222,1.4206392222222222,18.0
Scalar,saxpy,i32,3981793,0,0,4.492265722222223,1.5691954444444445,18.0
Scalar,saxpy,i32,3981793,0,1,4.2493695,1.6597314444444444,18.0
Scalar,saxpy,i32,3981793,1,0,4.213944722222223,1.6794128333333331,18.0
Scalar,saxpy,i32,3981793,1,1,4.164872555555556,1.7072346666666667,18.0
Scalar,saxpy,i32,5547302,0,0,4.36615188888889,1.6106638333333332,18.0
Scalar,saxpy,i32,5547302,0,1,4.305351833333333,1.629036777777778,18.0
Scalar,saxpy,i32,5547302,1,0,4.226124055555555,1.6721416666666664,18.0
Scalar,saxpy,i32,5547302,1,1,4.315300055555556,1.6241079444444444,18.0
Scalar,saxpy,i32,7728318,0,0,4.258849111111111,1.6564398888888892,18.0
Scalar,saxpy,i32,7728318,0,1,4.138685,1.7025807777777777,18.0
Scalar,saxpy,i32,7728318,1,0,4.244852055555556,1.6626793333333334,18.0
Scalar,saxpy,i32,7728318,1,1,3.7735032222222222,1.8820661111111106,18.0
Scalar,saxpy,i32,10766836,0,0,4.319666277777778,1.6276320000000002,18.0
Scalar,saxpy,i32,10766836,0,1,4.3328465,1.6206991111111113,18.0
Scalar,saxpy,i32,10766836,1,0,4.334423277777777,1.6168616111111112,18.0
Scalar,saxpy,i32,10766836,1,1,4.219127833333333,1.6682380555555554,18.0
Scalar,saxpy,i32,15000000,0,0,4.024821888888889,1.7479343888888887,18.0
Scalar,saxpy,i32,15000000,0,1,4.215079222222222,1.6664412777777777,18.0
Scalar,saxpy,i32,15000000,1,0,4.049192277777777,1.7367807777777777,18.0
Scalar,saxpy,i32,15000000,1,1,4.2559255,1.6486158333333334,18.0
Scalar,stencil,f32,1000,0,0,13.409025999999999,0.7831244210526316,19.0
Scalar,stencil,f32,1000,0,1,13.305377105263156,0.789342105263158,19.0
Scalar,stencil,f32,1000,1,0,10.596865888888889,0.9918023333333333,18.0
Scalar,stencil,f32,1000,1,1,10.623105333333335,0.9891388888888888,18.0
Scalar,stencil,f32,1393,0,0,13.253736833333333,0.7926812777777777,18.0
Scalar,stencil,f32,1393,0,1,13.808060333333334,0.7604688888888889,18.0
Scalar,stencil,f32,1393,1,0,10.242762166666665,1.0251511666666666,18.0
Scalar,stencil,f32,1393,1,1,10.733833578947369,0.9783125263157896,19.0
Scalar,stencil,f32,1941,0,0,13.517770777777777,0.7768775555555556,18.0
Scalar,stencil,f32,1941,0,1,14.27184152631579,0.7357983157894735,19.0
Scalar,stencil,f32,1941,1,0,13.60350688888889,0.771876388888889,18.0
Scalar,stencil,f32,1941,1,1,12.796461277777778,0.8306714444444444,18.0
Scalar,stencil,f32,2704,0,0,13.570986611111111,0.7737554444444446,18.0
Scalar,stencil,f32,2704,0,1,13.522895111111113,0.7764833333333333,18.0
Scalar,stencil,f32,2704,1,0,13.565410611111112,0.7740428888888888,18.0
Scalar,stencil,f32,2704,1,1,14.223911894736842,0.7383407894736843,19.0
Scalar,stencil,f32,3767,0,0,14.016424555555556,0.7505453888888889,18.0
Scalar,stencil,f32,3767,0,1,12.988605222222223,0.8188138333333332,18.0
Scalar,stencil,f32,3767,1,0,13.800984500000002,0.7609122222222222,18.0
Scalar,stencil,f32,3767,1,1,13.621519944444444,0.7741128333333333,18.0
Scalar,stencil,f32,5248,0,0,12.790791166666668,0.8394327777777778,18.0
Scalar,stencil,f32,5248,0,1,14.112947210526317,0.7442133684210527,19.0
Scalar,stencil,f32,5248,1,0,13.783197888888887,0.7618177777777777,18.0
Scalar,stencil,f32,5248,1,1,14.541936777777778,0.7226827222222222,18.0
Scalar,stencil,f32,7312,0,0,11.627575055555555,0.9222488888888889,18.0
Scalar,stencil,f32,7312,0,1,14.267584444444445,0.7365858333333334,18.0
Scalar,stencil,f32,7312,1,0,13.840888631578947,0.7586251052631579,19.0
Scalar,stencil,f32,7312,1,1,14.454056166666666,0.726454111111111,18.0
Scalar,stencil,f32,10186,0,0,14.295543277777776,0.7350683333333333,18.0
Scalar,stencil,f32,10186,0,1,14.614352722222224,0.7184862777777776,18.0
Scalar,stencil,f32,10186,1,0,14.606637333333332,0.7190762777777777,18.0
Scalar,stencil,f32,10186,1,1,14.60538327777778,0.7189252222222222,18.0
Scalar,stencil,f32,14191,0,0,14.432009222222222,0.7276529444444445,18.0
Scalar,stencil,f32,14191,0,1,14.747467388888888,0.7119947222222222,18.0
Scalar,stencil,f32,14191,1,0,14.669234944444444,0.7158032222222223,18.0
Scalar,stencil,f32,14191,1,1,14.713669722222221,0.713639,18.0
Scalar,stencil,f32,19771,0,0,13.836810111111113,0.7588874999999998,18.0
Scalar,stencil,f32,19771,0,1,14.826375444444444,0.7082259444444445,18.0
Scalar,stencil,f32,19771,1,0,14.551358777777779,0.7233007222222222,18.0
Scalar,stencil,f32,19771,1,1,14.695042944444445,0.714539888888889,18.0
Scalar,stencil,f32,27544,0,0,13.937060666666667,0.7533971666666668,18.0
Scalar,stencil,f32,27544,0,1,14.899288315789473,0.704920894736842,19.0
Scalar,stencil,f32,27544,1,0,14.720635444444444,0.7132971666666668,18.0
Scalar,stencil,f32,27544,1,1,14.739551055555555,0.7123794999999999,18.0
Scalar,stencil,f32,38374,0,0,14.369035666666669,0.7312959444444445,18.0
Scalar,stencil,f32,38374,0,1,14.958300944444444,0.7022375555555556,18.0
Scalar,stencil,f32,38374,1,0,14.746752833333334,0.7120375,18.0
Scalar,stencil,f32,38374,1,1,13.447035611111112,0.8043800555555555,18.0
Scalar,stencil,f32,53461,0,0,13.940947944444442,0.7542650555555556,18.0
Scalar,stencil,f32,53461,0,1,14.609631888888888,0.7200020555555555,18.0
Scalar,stencil,f32,53461,1,0,12.154571722222222,0.9238803333333334,18.0
Scalar,stencil,f32,53461,1,1,13.730884722222223,0.7733659999999999,18.0
Scalar,stencil,f32,74480,0,0,14.70794038888889,0.7140246666666666,18.0
Scalar,stencil,f32,74480,0,1,14.90945672222222,0.7042945555555555,18.0
Scalar,stencil,f32,74480,1,0,14.91037761111111,0.7042977222222222,18.0
Scalar,stencil,f32,74480,1,1,14.961199277777776,0.7020676666666668,18.0
Scalar,stencil,f32,103763,0,0,14.90993511111111,0.7045205555555555,18.0
Scalar,stencil,f32,103763,0,1,14.111238666666665,0.7488723333333334,18.0
Scalar,stencil,f32,103763,1,0,14.843891666666666,0.7077286666666667,18.0
Scalar,stencil,f32,103763,1,1,14.365554055555556,0.7322318333333333,18.0
Scalar,stencil,f32,144560,0,0,14.912827333333333,0.7042600555555555,18.0
Scalar,stencil,f32,144560,0,1,14.941810055555557,0.7031515,18.0
Scalar,stencil,f32,144560,1,0,14.424847388888887,0.7327428333333335,18.0
Scalar,stencil,f32,144560,1,1,13.911063666666665,0.7632427222222221,18.0
Scalar,stencil,f32,201396,0,0,14.783683277777776,0.7120506666666667,18.0
Scalar,stencil,f32,201396,0,1,13.265774166666667,0.7962580555555555,18.0
Scalar,stencil,f32,201396,1,0,14.863962611111113,0.7065580555555555,18.0
Scalar,stencil,f32,201396,1,1,14.596554000000001,0.7225193888888889,18.0
Scalar,stencil,f32,280578,0,0,13.962481722222222,0.7537866111111111,18.0
Scalar,stencil,f32,280578,0,1,14.917961444444444,0.7042031111111112,18.0
Scalar,stencil,f32,280578,1,0,10.94778561111111,1.0135156666666665,18.0
Scalar,stencil,f32,280578,1,1,14.2804655,0.7377285,18.0
Scalar,stencil,f32,390892,0,0,13.730411277777778,0.78724,18.0
Scalar,stencil,f32,390892,0,1,13.434547111111112,0.7870620555555556,18.0
Scalar,stencil,f32,390892,1,0,14.774455611111112,0.7110535,18.0
Scalar,stencil,f32,390892,1,1,14.466572277777779,0.7265088888888888,18.0
Scalar,stencil,f32,544578,0,0,11.515395277777777,0.9135365555555555,18.0
Scalar,stencil,f32,544578,0,1,13.362180833333333,0.7889689444444445,18.0
